Detector,Total Trades,Winners,Losers,Win Rate %,Profit Factor,Expectancy (R),Avg Win %,Avg Loss %,Largest Win %,Largest Loss %,Total P&L %,Avg Bars Held
breakout_bullish,669,202,466,30.2,0.68,-0.32,0.78,-0.47,2.24,-1.36,-61.31,4.8
breakout_bearish,659,214,445,32.5,0.77,-0.16,0.94,-0.54,3.90,-1.34,-41.78,4.0
mean_reversion_long,484,147,336,30.4,0.44,-0.32,0.82,-0.46,2.64,-1.33,-34.59,4.6
mean_reversion_short,40,14,26,35.0,1.43,-0.22,0.99,-0.64,3.18,-3.80,-2.80,5.0
trend_continuation_long,481,139,341,28.9,0.43,-0.43,0.61,-0.42,1.93,-1.24,-56.45,6.6
trend_continuation_short,461,167,294,36.2,0.53,-0.13,0.65,-0.43,2.10,-1.26,-19.28,6.0
power_hour_reversal_bullish,182,48,134,26.4,0.68,-0.47,0.58,-0.40,2.11,-1.19,-26.19,5.6
power_hour_reversal_bearish,209,75,134,35.9,0.71,-0.20,0.48,-0.41,1.28,-0.79,-18.91,4.8
index_mean_reversion_long,455,114,341,25.1,0.47,-0.49,0.79,-0.53,2.58,-1.44,-90.07,4.7
index_mean_reversion_short,15,3,12,20.0,0.72,-0.55,0.81,-0.79,1.53,-3.80,-7.02,4.5
opening_drive_bullish,227,72,155,31.7,0.89,-0.22,0.89,-0.48,3.25,-1.36,-10.87,2.4
opening_drive_bearish,209,71,138,34.0,0.87,-0.14,0.78,-0.52,2.53,-3.80,-16.69,2.2
